id,value
42,60
43,18
48,544
53,120
56,158
58,110
100,122
250,72
260,115
310,120
334,138
590,100
749,745
758,122
801,58
807,24
810,80
825,132
832,13
843,22
890,18
898,17
899,519
922,83
934,39
940,141
967,1355
969,535
974,31
995,938
996,426
1009,47
1018,163
1054,30
1073,30
1078,210
1080,33
1088,112
1102,136
1146,83
1150,182
1171,332
1179,69
1251,895
1315,89
1389,66
1491,226
1702,366
1745,40
1000016,7
1000052,335
1000297,106
1000300,68
1000734,76
1000736,29
1000742,308
1000867,232
1000886,79
1000896,25
1000997,78
1001127,18
1001339,34
1001396,59
1001398,71
1001448,73
1001553,41
1001616,27
1001617,220
1001725,5
1001874,96
1001918,210
1001949,66
1001960,23
1002177,118
1002319,171
1002393,38
1002520,75
1002560,97
1002614,73
1002620,76
1002722,135
1002782,94
1002806,34
1002902,17
1002974,571
1002990,48
1003024,85
1003320,203
1003399,73
1003441,162
1003472,80
1003581,84
1003638,38
1003737,7
1003744,17
1003848,773
1004325,30
1004641,268
1004892,72
1005030,33
1005362,82
1006420,400
1006598,18
1006613,256
1006617,93
1006946,91
1006967,73
1008245,123
1008983,57
1009289,111
1009659,136
1010235,21
1010286,65
1011867,111
1012617,24
1013085,107
1013887,47
1014523,43
1014690,10
1014716,29
1015008,25
1015144,47
1015220,277
1015268,18
1015326,115
1015706,20
1016297,183
1016486,238
1016583,47
1016798,24
1017251,76
1018391,66
1018651,335
1018809,79
1018941,17
1018967,24
1018980,343
1019084,9
1019118,84
1019214,60
1019244,52
1019458,30
1019593,84
1019609,94
1019963,67
1020834,326
1021666,215
1021842,20
1021852,256
1021853,48
1021984,52
1022266,158
1022324,12
1023240,22
1023350,44
1026083,17
1026564,67
1026578,109
1026641,27
1026650,20
1027314,1
1028026,57
1028866,222
1029212,60
1029606,16
1029873,24
1029997,19
1030213,67
1030428,148
1030977,28
1031310,115
1031494,39
1033563,270
1033629,58
1036530,211
1037531,144
1042770,3
1045282,16
1050882,30
1052042,70
1052265,22
1054220,142
1056740,90
1057187,76
1057301,54
1059727,24
1061465,30
1062611,24
1079075,42
1089397,5
1090261,64
1090913,107
1093027,40
1094599,78
1095220,379
1104933,153
1110367,5
1114245,655
1114848,1067
1127520,4
1128342,52
1145950,1107
1151333,85
