42,46
43,4
48,899
53,120
56,173
58,201
100,82
250,155
260,109
310,266
334,151
590,95
749,779
758,35
801,24
807,41
810,119
825,181
832,138
843,20
890,31
898,21
899,807
922,139
934,16
940,103
967,3281
969,850
974,32
995,867
996,324
1009,55
1018,190
1054,36
1073,37
1078,336
1080,24
1088,77
1102,318
1146,65
1150,99
1171,319
1179,132
1251,3078
1315,440
1389,94
1491,265
1702,328
1745,57
1000016,8
1000052,439
1000297,121
1000300,90
1000734,115
1000736,38
1000742,350
1000867,202
1000886,130
1000896,27
1000997,72
1001127,7
1001339,51
1001396,117
1001398,226
1001448,69
1001553,37
1001616,17
1001617,272
1001725,1
1001874,82
1001918,200
1001949,64
1001960,30
1002177,60
1002319,208
1002393,257
1002520,48
1002560,129
1002614,65
1002620,118
1002722,253
1002782,98
1002806,79
1002902,36
1002974,957
1002990,49
1003024,222
1003320,157
1003399,126
1003441,142
1003472,42
1003581,70
1003638,60
1003737,4
1003744,37
1003848,816
1004325,27
1004641,464
1004892,433
1005030,27
1005362,169
1006420,595
1006598,62
1006613,152
1006617,105
1006946,87
1006967,147
1008245,119
1008983,100
1009289,175
1009659,232
1010235,23
1010286,59
1011867,65
1012617,23
1013085,48
1013887,82
1014523,40
1014690,21
1014716,26
1015008,35
1015144,204
1015220,182
1015268,10
1015326,289
1015706,16
1016297,635
1016486,157
1016583,61
1016798,24
1017251,94
1018391,57
1018651,215
1018809,166
1018941,8
1018967,20
1018980,264
1019084,9
1019118,49
1019214,7
1019244,105
1019458,27
1019593,73
1019609,57
1019963,87
1020834,288
1021666,185
1021842,23
1021852,454
1021853,101
1021984,12
1022266,243
1022324,6
1023240,6
1023350,19
1026083,8
1026564,36
1026578,272
1026641,38
1026650,10
1027314,10
1028026,44
1028866,185
1029212,95
1029606,14
1029873,30
1029997,12
1030213,101
1030428,180
1030977,24
1031310,193
1031494,35
1033563,218
1033629,26
1036530,136
1037531,210
1042770,6
1045282,145
1050882,50
1052042,382
1052265,25
1054220,143
1056740,110
1057187,27
1057301,59
1059727,20
1061465,24
1062611,10
1079075,640
1089397,1
1090261,12
1090913,36
1093027,29
1094599,98
1095220,185
1104933,192
1110367,2
1114245,635
1114848,99
1127520,349
1128342,58
1129431,93
1145950,66
1151333,167
1159308,81
1183310,370
