id,value
42,49
43,15
48,755
53,156
56,248
58,261
100,197
250,127
260,106
310,250
334,231
590,106
749,1024
758,100
801,1010
807,31
810,139
825,217
832,12
843,56
890,37
898,21
899,671
922,110
934,56
940,154
967,2331
969,950
974,35
995,1011
996,457
1009,50
1018,190
1054,41
1073,14
1078,514
1080,30
1088,279
1102,137
1146,64
1150,134
1171,519
1179,137
1251,1636
1315,87
1389,68
1491,347
1702,393
1745,32
1000016,5
1000052,316
1000297,352
1000300,154
1000734,175
1000736,39
1000742,660
1000867,468
1000886,108
1000896,23
1000997,59
1001127,22
1001339,68
1001396,96
1001398,668
1001448,90
1001553,60
1001616,71
1001617,376
1001725,1
1001874,203
1001918,216
1001949,85
1001960,20
1002177,121
1002319,213
1002393,27
1002520,88
1002560,102
1002614,72
1002620,77
1002722,457
1002782,167
1002806,47
1002902,82
1002974,1264
1002990,62
1003024,104
1003320,403
1003399,93
1003441,190
1003472,101
1003581,85
1003638,59
1003737,21
1003744,27
1003848,1033
1004325,60
1004641,110
1004892,168
1005030,51
1005362,515
1006420,687
1006598,93
1006613,193
1006617,135
1006946,106
1006967,171
1008245,170
1008983,86
1009289,162
1009659,132
1010235,39
1010286,123
1011867,63
1012617,37
1013085,66
1013887,51
1014523,70
1014690,17
1014716,63
1015008,49
1015144,67
1015220,427
1015268,36
1015326,197
1015706,31
1016297,1324
1016486,282
1016583,75
1016798,26
1017251,92
1018391,214
1018651,319
1018809,991
1018941,4
1018967,39
1018980,860
1019084,15
1019118,116
1019214,45
1019244,236
1019458,40
1019593,275
1019609,107
1019963,51
1020834,393
1021666,261
1021842,18
1021852,266
1021853,91
1021984,68
1022266,747
1022324,11
1023240,29
1023350,39
1026083,215
1026564,85
1026578,163
1026641,41
1026650,21
1027314,1
1028026,55
1028866,175
1029212,101
1029606,43
1029873,43
1029997,27
1030213,412
1030428,452
1030977,75
1031310,165
1031494,55
1033563,227
1033629,92
1036530,310
1037531,139
1042770,15
1045282,54
1050882,42
1052042,123
1052265,8
1054220,181
1056740,88
1057187,143
1057301,67
1059727,35
1061465,54
1062611,74
1079075,180
1090261,103
1090913,185
1093027,45
1094599,124
1095220,430
1104933,291
1110367,8
1114245,573
1114848,881
1127520,1
1128342,58
1145950,521
1151333,110
1159308,4
