id,value
42,65
43,27
48,680
53,125
56,180
58,148
100,73
250,89
260,110
310,179
334,197
590,77
749,860
758,89
801,1293
807,42
810,125
825,148
832,25
843,47
890,28
898,14
899,553
922,111
934,59
940,156
967,1981
969,704
974,23
995,1054
996,462
1009,44
1018,170
1054,42
1073,25
1078,321
1080,22
1088,201
1102,148
1146,94
1150,165
1171,452
1179,124
1251,1265
1315,74
1389,71
1491,300
1702,488
1745,48
1000016,14
1000052,389
1000297,247
1000300,132
1000734,136
1000736,39
1000742,465
1000867,769
1000886,106
1000896,15
1000997,73
1001127,21
1001339,64
1001396,77
1001398,434
1001448,103
1001553,53
1001616,93
1001617,341
1001725,2
1001874,168
1001918,267
1001949,76
1001960,36
1002177,173
1002319,181
1002393,33
1002520,83
1002560,70
1002614,71
1002620,105
1002722,269
1002782,169
1002806,34
1002902,57
1002974,1062
1002990,79
1003024,93
1003320,454
1003399,98
1003441,152
1003472,117
1003581,104
1003638,32
1003737,43
1003744,16
1003848,925
1004325,45
1004641,176
1004892,82
1005030,34
1005362,475
1006420,578
1006598,61
1006613,242
1006617,170
1006946,138
1006967,136
1008245,185
1008983,89
1009289,123
1009659,108
1010235,49
1010286,88
1011867,159
1012617,31
1013085,89
1013887,52
1014523,62
1014690,10
1014716,61
1015008,46
1015144,65
1015220,541
1015268,42
1015326,167
1015706,45
1016297,170
1016486,297
1016583,63
1016798,25
1017251,91
1018391,157
1018651,329
1018809,2812
1018941,8
1018967,49
1018980,687
1019084,27
1019118,128
1019214,63
1019244,135
1019458,46
1019593,186
1019609,133
1019963,53
1020834,504
1021666,401
1021842,34
1021852,266
1021853,103
1021984,93
1022266,650
1022324,12
1023240,26
1023350,50
1026083,185
1026564,98
1026578,110
1026641,37
1026650,39
1027314,5
1028026,79
1028866,231
1029212,106
1029606,34
1029873,55
1029997,32
1030213,63
1030428,406
1030977,147
1031310,139
1031494,67
1033563,182
1033629,128
1036530,377
1037531,153
1042770,9
1045282,20
1050882,38
1052042,93
1052265,15
1054220,218
1056740,89
1057187,212
1057301,68
1059727,37
1061465,24
1062611,9
1079075,134
1089397,3
1090261,164
1090913,185
1093027,53
1094599,138
1095220,146
1104933,224
1110367,11
1114245,784
1114848,620
1127520,3
1128342,87
1145950,962
1151333,113
