id,value
42,43
43,20
48,547
53,94
56,136
58,131
100,111
250,83
260,57
310,110
334,91
590,69
749,790
758,85
801,85
807,7
810,69
825,140
832,18
843,17
890,34
898,16
899,526
922,96
934,27
940,129
967,1345
969,497
974,22
995,760
996,421
1009,34
1018,140
1054,30
1073,17
1078,249
1080,13
1088,111
1102,150
1146,77
1150,159
1171,453
1179,98
1251,921
1315,99
1389,87
1491,216
1702,331
1745,23
1000016,6
1000052,307
1000297,111
1000300,43
1000734,88
1000736,25
1000742,313
1000867,438
1000886,77
1000896,28
1000997,44
1001127,30
1001339,39
1001396,66
1001398,69
1001448,78
1001553,45
1001616,17
1001617,246
1001725,6
1001874,90
1001918,242
1001949,87
1001960,30
1002177,90
1002319,163
1002393,32
1002520,51
1002560,117
1002614,53
1002620,69
1002722,87
1002782,69
1002806,37
1002902,24
1002974,592
1002990,47
1003024,75
1003320,404
1003399,74
1003441,156
1003472,59
1003581,83
1003638,60
1003737,12
1003744,28
1003848,670
1004325,28
1004641,208
1004892,56
1005030,53
1005362,60
1006420,386
1006598,11
1006613,244
1006617,119
1006946,60
1006967,75
1008245,93
1008983,61
1009289,143
1009659,83
1010235,35
1010286,62
1011867,43
1012617,18
1013085,72
1013887,30
1014523,31
1014690,9
1014716,28
1015008,50
1015144,56
1015220,252
1015268,7
1015326,75
1015706,17
1016297,505
1016486,215
1016583,42
1016798,38
1017251,67
1018391,35
1018651,351
1018809,68
1018941,9
1018967,26
1018980,312
1019084,11
1019118,55
1019214,196
1019244,42
1019458,26
1019593,239
1019609,87
1019963,54
1020834,284
1021666,86
1021842,11
1021852,252
1021853,85
1021984,35
1022266,185
1022324,13
1023240,18
1023350,19
1026083,11
1026564,35
1026578,98
1026641,24
1026650,22
1027314,4
1028026,43
1028866,459
1029212,76
1029873,33
1029997,12
1030213,26
1030428,188
1030977,26
1031310,76
1031494,51
1033563,249
1033629,40
1036530,143
1037531,153
1042770,6
1045282,15
1050882,30
1052042,41
1052265,42
1054220,94
1056740,83
1057187,206
1057301,41
1059727,17
1061465,12
1062611,24
1079075,71
1090261,38
1090913,148
1093027,24
1094599,50
1095220,277
1104933,152
1110367,13
1114245,627
1114848,936
1127520,1
1128342,34
1145950,637
1151333,29
