id,value
42,45
43,23
48,492
53,105
56,123
58,143
100,60
250,81
260,59
310,109
334,99
590,70
749,901
758,95
801,38
807,15
810,84
825,119
832,16
843,15
890,24
898,17
899,474
922,90
934,23
940,130
967,1387
969,524
974,31
995,766
996,372
1009,34
1018,124
1054,37
1073,13
1078,236
1080,17
1088,121
1102,183
1146,87
1150,126
1171,430
1179,73
1251,923
1315,102
1389,48
1491,256
1702,387
1745,19
1000016,13
1000052,261
1000297,84
1000300,57
1000734,91
1000736,28
1000742,302
1000867,569
1000886,80
1000896,21
1000997,44
1001127,21
1001339,25
1001396,72
1001398,77
1001448,66
1001553,37
1001616,29
1001617,275
1001725,4
1001874,98
1001918,223
1001949,78
1001960,44
1002177,101
1002319,161
1002393,37
1002520,78
1002560,95
1002614,76
1002620,84
1002722,73
1002782,83
1002806,26
1002902,39
1002974,485
1002990,37
1003024,86
1003320,438
1003399,77
1003441,156
1003472,44
1003581,80
1003638,30
1003737,9
1003744,17
1003848,468
1004325,19
1004641,250
1004892,67
1005030,26
1005362,48
1006420,355
1006598,27
1006613,229
1006617,134
1006946,68
1006967,77
1008245,116
1008983,62
1009289,132
1009659,89
1010235,37
1010286,73
1011867,32
1012617,35
1013085,76
1013887,37
1014523,67
1014690,38
1014716,34
1015008,26
1015144,65
1015220,132
1015268,4
1015326,84
1015706,21
1016297,351
1016486,192
1016583,37
1016798,18
1017251,48
1018391,27
1018651,360
1018809,80
1018941,6
1018967,28
1018980,331
1019084,5
1019118,50
1019214,231
1019244,24
1019458,29
1019593,252
1019609,72
1019963,58
1020834,301
1021666,114
1021842,27
1021852,247
1021853,32
1021984,40
1022266,177
1022324,4
1023240,19
1023350,17
1026083,16
1026564,38
1026578,91
1026641,27
1026650,20
1027314,5
1028026,37
1028866,579
1029212,62
1029606,7
1029873,29
1029997,21
1030213,35
1030428,191
1030977,16
1031310,91
1031494,32
1033563,258
1033629,30
1036530,147
1037531,258
1042770,6
1045282,5
1050882,24
1052042,12
1052265,29
1054220,137
1056740,64
1057187,144
1057301,46
1059727,12
1061465,22
1062611,48
1079075,68
1089397,4
1090261,58
1090913,106
1093027,22
1094599,65
1095220,392
1104933,65
1110367,12
1114245,784
1114848,591
1128342,39
1145950,448
1151333,62
