id,value
42,52
43,14
48,835
53,138
56,229
58,254
100,265
250,102
260,79
310,264
334,246
590,131
749,1147
758,103
801,245
807,32
810,210
825,189
832,32
843,81
890,39
898,22
899,708
922,105
934,49
940,152
967,2127
969,864
974,54
995,863
996,446
1009,43
1018,252
1054,49
1073,16
1078,454
1080,27
1088,244
1102,206
1146,81
1150,140
1171,501
1179,126
1251,1569
1315,100
1389,97
1491,367
1702,378
1745,26
1000016,16
1000052,354
1000297,351
1000300,105
1000734,150
1000736,31
1000742,566
1000867,373
1000886,109
1000896,22
1000997,68
1001127,25
1001339,76
1001396,105
1001398,477
1001448,88
1001553,58
1001616,43
1001617,337
1001874,256
1001918,256
1001949,61
1001960,27
1002177,144
1002319,263
1002393,34
1002520,91
1002560,83
1002614,58
1002620,114
1002722,248
1002782,251
1002806,39
1002902,102
1002974,1079
1002990,52
1003024,128
1003320,423
1003399,145
1003441,174
1003472,110
1003581,76
1003638,46
1003737,15
1003744,25
1003848,759
1004325,42
1004641,109
1004892,137
1005030,41
1005362,277
1006420,656
1006598,61
1006613,214
1006617,135
1006946,114
1006967,174
1008245,117
1008983,159
1009289,147
1009659,169
1010235,43
1010286,113
1011867,87
1012617,27
1013085,70
1013887,38
1014523,41
1014690,13
1014716,60
1015008,43
1015144,83
1015220,291
1015268,19
1015326,128
1015706,25
1016297,1411
1016486,248
1016583,69
1016798,25
1017251,72
1018391,360
1018651,335
1018809,833
1018941,7
1018967,46
1018980,859
1019084,16
1019118,99
1019214,33
1019244,217
1019458,47
1019593,219
1019609,99
1019963,69
1020834,413
1021666,248
1021842,37
1021852,277
1021853,97
1021984,73
1022266,588
1022324,19
1023240,17
1023350,28
1026083,213
1026564,62
1026578,268
1026641,122
1026650,20
1027314,2
1028026,55
1028866,176
1029212,121
1029606,93
1029873,72
1029997,30
1030213,368
1030428,501
1030977,34
1031310,131
1031494,75
1033563,223
1033629,27
1036530,253
1037531,120
1042770,8
1045282,39
1050882,58
1052042,156
1054220,169
1056740,85
1057187,53
1057301,59
1059727,28
1061465,26
1062611,62
1079075,181
1089397,2
1090261,47
1090913,148
1093027,41
1094599,88
1095220,549
1104933,523
1110367,11
1114245,615
1114848,458
1127520,3
1128342,70
1129431,2
1145950,369
1151333,176
1159308,7
