42,40
43,17
48,785
53,108
56,96
58,162
100,88
250,61
260,70
310,151
334,123
590,74
749,1041
758,32
801,29
807,33
810,114
825,129
832,29
843,21
890,29
898,45
899,610
922,86
934,40
940,133
967,2585
969,648
974,37
995,769
996,396
1009,35
1018,109
1054,45
1073,28
1078,295
1080,9
1088,143
1102,96
1146,80
1150,153
1171,258
1179,77
1251,2132
1315,68
1389,70
1491,223
1702,452
1745,42
1000016,10
1000052,308
1000297,132
1000300,73
1000734,125
1000736,39
1000742,376
1000867,250
1000886,62
1000896,10
1000997,84
1001127,18
1001339,67
1001396,119
1001398,163
1001448,74
1001553,28
1001616,57
1001617,323
1001874,105
1001918,250
1001949,95
1001960,44
1002177,112
1002319,194
1002393,36
1002520,93
1002560,73
1002614,72
1002620,66
1002722,158
1002782,164
1002806,27
1002902,483
1002974,634
1002990,40
1003024,96
1003320,157
1003399,147
1003441,206
1003472,53
1003581,59
1003638,37
1003737,13
1003744,62
1003848,634
1004325,48
1004641,134
1004892,54
1005030,34
1005362,75
1006420,369
1006598,55
1006613,168
1006617,142
1006946,60
1006967,117
1008245,116
1008983,72
1009289,115
1009659,110
1010235,23
1010286,81
1011867,71
1012617,22
1013085,86
1013887,60
1014523,32
1014690,13
1014716,46
1015008,60
1015144,103
1015220,234
1015268,9
1015326,197
1015706,11
1016297,1240
1016486,218
1016583,27
1016798,19
1017251,71
1018391,76
1018651,263
1018809,226
1018941,3
1018967,23
1018980,389
1019084,9
1019118,63
1019214,15
1019244,112
1019458,26
1019593,193
1019609,60
1019963,31
1020834,300
1021666,126
1021842,28
1021852,566
1021853,76
1021984,26
1022266,321
1022324,2
1023240,26
1023350,26
1026083,33
1026564,51
1026578,128
1026641,19
1026650,13
1027314,1
1028026,57
1028866,175
1029212,97
1029606,4
1029873,32
1029997,10
1030213,126
1030428,228
1030977,36
1031310,87
1031494,66
1033563,314
1033629,35
1036530,151
1037531,242
1042770,4
1045282,39
1050882,34
1052042,62
1052265,4
1054220,121
1056740,84
1057187,36
1057301,37
1059727,23
1061465,23
1062611,28
1079075,128
1089397,3
1090261,45
1090913,61
1093027,32
1094599,122
1095220,75
1104933,114
1110367,12
1114245,557
1114848,779
1127520,15
1128342,44
1129431,2
1145950,99
1151333,29
1159308,4
