id,value
42,52
43,12
48,502
53,75
56,139
58,122
100,71
250,76
260,64
310,121
334,118
590,74
749,977
758,82
801,46
807,19
810,71
825,122
832,18
843,25
890,28
898,14
899,519
922,75
934,21
940,119
967,1521
969,566
974,43
995,784
996,380
1009,29
1018,121
1054,31
1073,26
1078,249
1080,14
1088,103
1102,118
1146,68
1150,156
1171,496
1179,73
1251,960
1315,74
1389,72
1491,235
1702,343
1745,18
1000016,5
1000052,287
1000297,107
1000300,47
1000734,103
1000736,41
1000742,326
1000867,422
1000886,85
1000896,26
1000997,57
1001127,25
1001339,19
1001396,81
1001398,81
1001448,79
1001553,46
1001616,37
1001617,286
1001725,7
1001874,96
1001918,246
1001949,80
1001960,31
1002177,112
1002319,165
1002393,36
1002520,81
1002560,67
1002614,78
1002620,75
1002722,78
1002782,80
1002806,33
1002902,34
1002974,516
1002990,60
1003024,70
1003320,468
1003399,105
1003441,176
1003472,65
1003581,80
1003638,35
1003737,6
1003744,26
1003848,830
1004325,28
1004641,231
1004892,85
1005030,39
1005362,49
1006420,405
1006598,30
1006613,252
1006617,95
1006946,53
1006967,65
1008245,101
1008983,62
1009289,156
1009659,86
1010235,30
1010286,68
1011867,20
1012617,30
1013085,114
1013887,48
1014523,48
1014690,20
1014716,28
1015008,34
1015144,53
1015220,182
1015268,6
1015326,76
1015706,28
1016297,436
1016486,164
1016583,38
1016798,27
1017251,55
1018391,28
1018651,497
1018809,93
1018941,10
1018967,30
1018980,326
1019084,10
1019118,62
1019214,259
1019244,32
1019458,20
1019593,261
1019609,70
1019963,54
1020834,314
1021666,83
1021842,28
1021852,235
1021853,60
1021984,22
1022266,161
1022324,18
1023240,13
1023350,18
1026083,5
1026564,38
1026578,141
1026641,36
1026650,17
1027314,1
1028026,47
1028866,219
1029212,81
1029606,9
1029873,36
1029997,17
1030213,59
1030428,173
1030977,16
1031310,77
1031494,44
1033563,189
1033629,23
1036530,129
1037531,220
1042770,8
1045282,11
1050882,38
1052042,6
1052265,47
1054220,129
1056740,61
1057187,29
1057301,49
1059727,21
1061465,26
1062611,48
1079075,51
1090261,46
1090913,84
1093027,25
1094599,80
1095220,391
1104933,74
1110367,25
1114245,912
1114848,682
1128342,46
1129431,1
1145950,407
1151333,47
