id,value
42,47
43,17
48,1041
53,120
56,186
58,187
100,151
250,86
260,90
310,177
334,171
590,120
749,1458
758,72
801,40
807,19
810,134
825,188
832,17
843,35
890,26
898,33
899,717
922,100
934,124
940,131
967,3248
969,710
974,50
995,970
996,474
1009,41
1018,184
1054,43
1073,19
1078,336
1080,36
1088,174
1102,244
1146,79
1150,118
1171,356
1179,76
1251,2093
1315,92
1389,68
1491,301
1702,541
1745,43
1000016,13
1000052,357
1000297,186
1000300,69
1000734,141
1000736,20
1000742,453
1000867,258
1000886,99
1000896,29
1000997,69
1001127,19
1001339,29
1001396,85
1001398,192
1001448,87
1001553,103
1001616,54
1001617,253
1001725,1
1001874,153
1001918,256
1001949,93
1001960,32
1002177,112
1002319,200
1002393,27
1002520,76
1002560,68
1002614,74
1002620,71
1002722,157
1002782,156
1002806,26
1002902,54
1002974,744
1002990,42
1003024,92
1003320,268
1003399,174
1003441,209
1003472,64
1003581,109
1003638,821
1003737,27
1003744,15
1003848,510
1004325,43
1004641,145
1004892,73
1005030,39
1005362,61
1006420,470
1006598,30
1006613,225
1006617,134
1006946,140
1006967,144
1008245,151
1008983,82
1009289,148
1009659,112
1010235,42
1010286,113
1011867,99
1012617,21
1013085,89
1013887,46
1014523,34
1014690,17
1014716,47
1015008,42
1015144,68
1015220,387
1015268,31
1015326,178
1015706,40
1016297,636
1016486,233
1016583,41
1016798,31
1017251,80
1018391,109
1018651,338
1018809,455
1018941,6
1018967,36
1018980,450
1019084,16
1019118,96
1019214,31
1019244,102
1019458,39
1019593,224
1019609,103
1019963,80
1020834,378
1021666,294
1021842,10
1021852,279
1021853,91
1021984,83
1022266,345
1022324,12
1023240,11
1023350,35
1026083,12
1026564,52
1026578,165
1026641,34
1026650,22
1027314,2
1028026,64
1028866,176
1029212,85
1029606,22
1029873,85
1029997,6
1030213,215
1030428,313
1030977,54
1031310,85
1031494,46
1033563,235
1033629,66
1036530,278
1037531,211
1042770,8
1045282,68
1050882,59
1052042,728
1052265,3
1054220,162
1056740,72
1057187,23
1057301,67
1059727,24
1061465,36
1062611,45
1079075,269
1089397,1
1090261,24
1090913,87
1093027,38
1094599,104
1095220,162
1104933,226
1110367,6
1114245,745
1114848,919
1127520,14
1128342,59
1129431,1
1145950,613
1151333,70
1159308,1
