id,value
42,48
43,19
48,638
53,110
56,134
58,139
100,66
250,72
260,77
310,128
334,113
590,89
749,962
758,88
801,72
807,19
810,85
825,124
832,15
843,20
890,28
898,12
899,604
922,107
934,32
940,117
967,1470
969,559
974,32
995,847
996,403
1009,31
1018,129
1054,34
1073,24
1078,298
1080,31
1088,102
1102,161
1146,107
1150,110
1171,497
1179,88
1251,986
1315,135
1389,86
1491,215
1702,353
1745,22
1000016,5
1000052,271
1000297,99
1000300,47
1000734,100
1000736,31
1000742,354
1000867,547
1000886,85
1000896,20
1000997,45
1001127,31
1001339,26
1001396,78
1001398,93
1001448,84
1001553,37
1001616,49
1001617,247
1001725,7
1001874,91
1001918,242
1001949,69
1001960,41
1002177,86
1002319,165
1002393,34
1002520,65
1002560,93
1002614,64
1002620,81
1002722,92
1002782,98
1002806,41
1002902,15
1002974,638
1002990,37
1003024,95
1003320,450
1003399,76
1003441,128
1003472,77
1003581,76
1003638,28
1003737,13
1003744,21
1003848,466
1004325,32
1004641,275
1004892,63
1005030,44
1005362,55
1006420,508
1006598,37
1006613,252
1006617,119
1006946,23
1006967,61
1008245,112
1008983,58
1009289,135
1009659,81
1010235,24
1010286,84
1011867,42
1012617,32
1013085,78
1013887,45
1014523,76
1014690,30
1014716,23
1015008,33
1015144,58
1015220,168
1015268,16
1015326,93
1015706,33
1016297,285
1016486,218
1016583,44
1016798,27
1017251,73
1018391,31
1018651,564
1018809,104
1018941,3
1018967,34
1018980,345
1019084,9
1019118,60
1019214,262
1019244,37
1019458,23
1019593,282
1019609,62
1019963,54
1020834,325
1021666,88
1021842,23
1021852,242
1021853,64
1021984,28
1022266,218
1022324,4
1023240,26
1023350,20
1026083,8
1026564,41
1026578,115
1026641,27
1026650,25
1028026,53
1028866,141
1029212,70
1029606,6
1029873,47
1029997,19
1030213,71
1030428,199
1030977,14
1031310,86
1031494,44
1033563,205
1033629,20
1036530,174
1037531,208
1042770,4
1045282,19
1050882,43
1052042,7
1052265,32
1054220,163
1056740,64
1057187,93
1057301,48
1059727,21
1061465,24
1062611,70
1079075,98
1089397,5
1090261,17
1090913,152
1093027,31
1094599,97
1095220,387
1104933,74
1110367,14
1114245,879
1114848,213
1128342,54
1145950,421
1151333,62
